Sigla,Nome do evento,Sociedade
IC3K,"International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management",
ICA3PP,International Conference on Algorithms and Architectures for Parallel Processing,
ICAART,International Conference on Agents and Artificial Intelligence,
ICAI,International Conference on Applied Informatics,
ICAISC,International Conference on Artificial Intelligence and Soft Computing,
ICAIWC,International Conference on Artificial Intelligence,
ICALP,"International Colloquium on Automata, Languages, and Programming",
ICALT,IEEE International Conference on Advanced Learning Technologies,
ICANN,International Conference on Artificial Neural Networks,
ICAPS,International Conference on Automated Planning and Scheduling,
ICAR,International Conference on Advanced Robotics,
ICARA,"International Conference on Automation, Robotics and Applications",
ICARM,International Conference on Advanced Robotics and Mechatronics,
ICAROB,International Conference on Artificial Life and Robotics,
ICARSC,IEEE International Conference on Autonomous Robot Systems and Competitions,
ICARV,"International Conference on Control, Automation, Robotics and Vision",
ICAS-IARIA,IARIA International Conference on Autonomic and Autonomous Systems,
ICASSP,"IEEE International Conference on Acoustics, Speech and Signal Processing",
ICB,International Conference on Biometrics,
ICBC,IEEE International Conference on Blockchain and Cryptocurrency,
ICBIP,International Conference on Biomedical Signal and Image Processing,
ICBK,International Conference on Big Knowledge,
ICBL,International Conference on Interactive Collaborative and Blended Learning,
ICC,IEEE International Conference on Communications,
ICCA,IEEE International Conference on Control and Automation,
ICCABS,International Conference on Computational Advances in Bio and Medical Sciences,
ICCAD,IEEE/ACM International Conference on Computer-Aided Design,
ICCAR,"International Conference on Control, Automation and Robotics",
ICCC,International Conference on Computational Creativity,
ICCCBE,International Conference on Computing in Civil and Building Engineering,
ICCCN,International Conference on Computer Communications and Networks,
ICCD,International Conference on Computer Design,
ICCDCS,"International Caribbean Conference on Devices, Circuits and Systems",
ICCE-EDU,International Conference on Computers in Education,
iCCECE,"International Conference on Computing, Electronics & Communications Engineering",
ICCHP,International Conference on Computers Helping People with Special Needs,
ICCL2,International Conference on Computational Logistics,
ICCP,IEEE International Conference on Intelligent Computer Communication and Processing,
ICCPR,International Conference on Computing and Pattern Recognition,
ICCPS,International Conference on Cyber-Physical Systems,
ICCS,International Conference on Computational Science,
ICCSA,International Conference on Computational Science and Its Applications,
ICCSPA,"International Conference on Communications, Signal Processing, and their Applications",
ICCStr,International Conference on Conceptual Structures,
ICCTCC,"International Conference on Computability Theory, Computability and Complexity",
ICCV,IEEE International Conference on Computer Vision,
ICCVW,IEEE International Conference on Computer Vision Workshops,
ICCW,IEEE International Conference on Communications Workshops,
ICDAR,International Conference on Document Analysis and Recognition,
ICDCN,International Conference on Distributed Computing and Networking,
ICDCS,International Conference on Distributed Computing Systems,
ICDCSW,International Conference on Distributed Computing Systems Workshops,
ICDE,IEEE International Conference on Data Engineering,
ICDF,IFIP International Conference on Digital Forensics,
ICDIM,International Conference on Digital Information Management,
ICDIP,International Conference on Digital Image Processing,
ICDL-EpiRob,IEEE International Conference on Development and Learning and Epigenetic Robotics,
ICDM,IEEE International Conference on Data Mining,
ICDMW,IEEE International Conference on Data Mining Workshop,
ICDT,International Conference on Database Theory,
ICE-CCN,"International Conference on Emerging Trends in Computing, Communication and Nanotechnology",
ICEBE,IEEE International Conference on e-Business Engineering,
ICEC,IFIP International Conference on Entertainment Computing,
ICECS,"IEEE International Conference on Electronics, Circuits and Systems",
ICEDEG,International Conference on eDemocracy & eGovernment,
ICEGOV,International Conference on Theory and Practice of Eletronic Governance,
ICEIS,International Conference on Enterprise Information Systems,
ICER,International Computing Education Research,
ICERI,"International Conference of Education, Research and Innovation",
ICFCA,International Conference on Formal Concept Analysis,
ICFEM,International Conference on Formal Engineering Methods,
ICFHR,International Conference on Frontiers in Handwriting Recognition,
ICFNDS,International Conference on Future Networks and Distributed Systems,
ICFP,International Conference on Functional Programming,
ICGI,International Conference on Grammatical Inference,
ICGJ,"International Conference on Game Jams, Hackathons, and Game Creation Events",
ICGSE,IEEE International Conference on Global Software Engineering,
ICGT,International Conference on Graph Transformation,
ICHI,IEEE International Conference on Healthcare Informatics,
ICIAP,International Conference on Image Analysis and Processing,
ICIAR,International Conference on Image Analysis and Recognition,
ICIC,International Conference on Intelligent Computing,
ICICS,International Conference on Information and Communications Security,
ICICT,International Conference on Information and Computer Technologies,
ICIDS,International Conference on Interactive Digital Storytelling,
ICIIECS,"International Conference on Innovations in Information, Embedded and Communication Systems",
ICINCO,"International Conference on Informatics in Control, Automation and Robotics",
ICIOT,International Conference on the Internet of Things,
ICIP,IEEE International Conference on Image Processing,
ICIRA,International Conference on Intelligent Robotics and Applications,
ICIS,International Conference on Information Systems,
ICISC,International Conference on Information Security and Cryptology,
ICISO,International Conference on Informatics and Semiotics in Organisations,
ICISS,International Conference on Information Systems Security,
ICIST,International Conference on Information and Software Technologies,
ICIT,IEEE International Conference on Industrial Technology,
ICITS,International Conference on Information Theoretic Security,
ICITST,International Conference for Internet Technology and Secured Transactions,
ICIVC,"International Conference on Image, Vision and Computing",
ICL,International Conference on Interactive Collaborative Learning,
ICLP,International Conference on Logic Programming,
ICLR,International Conference on Learning Representations,
ICM,International Conference on Microelectronics,
ICMA,IEEE International Conference on Mechatronics and Automation,
ICMC,International Computer Music Conference,
ICMCR,"International Conference on Mechatronics, Control and Robotics",
ICME,IEEE International Conference on Multimedia and Expo,
ICMEW,IEEE International Conference on Multimedia and Expo Workshops,
ICMI,ACM International Conference on Multimodal Interfaces,
ICMIS,International Conference on Mathematics & Information Science,
ICML,International Conference on Machine Learning,
ICMLA,IEEE International Conference on Machine Learning and Applications,
ICMLC,International Conference on Machine Learning and Computing,
ICMPC,International Conference on Music Perception and Cognition,
ICMR,ACM International Conference on Multimedia Retrieval,
ICN-IARIA,IARIA International Conference on Networks,
ICNC,"International Conference on Computing, Networking and Communications",
ICNC-FSKD,"International Conference on Natural Computation, Fuzzy Systems and Knowledge Discovery",
ICNP,International Conference on Network Protocols,
ICNSC,"IEEE International Conference on Networking, Sensing and Control",
ICOIN,International Conference on Information Networking,
ICOMPWC,International Conference on Internet Computing and Internet of Things,
ICONIP,International Conference on Neural Information Processing,
ICORES,International Conference on Operations Research and Enterprise Systems,
ICORR,IEEE International Conference on Rehabilitation Robotics,
ICPADS,International Conference on Parallel and Distributed Systems,
ICPC,International Conference on Program Comprehension,
ICPE,International Conference on Performance Engineering,
ICPME,"International Conference on Philosophy, Music and Emotion",
ICPP,International Conference on Parallel Processing,
ICPR,International Conference on Pattern Recognition,
ICRA,IEEE International Conference on Robotics and Automation,
ICRAE,International Conference on Robotics and Automation Engineering,
ICRC,IEEE International Conference on Rebooting Computing,
ICRES,International Conference on Robot Ethics and Standards,
ICS,International Conference on Supercomputing,
ICSC,International Conference on Semantic Computing,
ICSE,International Conference on Software Engineering,
ICSEA-IARIA,IARIA International Conference on Software Engineering Advances,
ICSESS,International Conference on Software Engineering and Service Science,
ICSEW,International Conference on Software Engineering Workshops,
ICSI,International Conference on Swarm Intelligence,
ICSIP,IEEE International Conference on Signal and Image Processing,
ICSLE,International Conference on Smart Learning Environments,
ICSME,IEEE International Conference on Software Maintenance and Evolution,
ICSOB,International Conference on Software Business,
ICSOC,International Conference on Service Oriented Computing,
ICSOFT,International Conference on Software Technologies,
ICSPCEC,"International Conference on Signal Processing, Communication, Power and Embedded System",
ICSR,International Conference on Software Reuse,
ICST,International Conference on Sensing Technology,
ICSTV,"IEEE International Conference on Software Testing, Verification and Validation",
ICSTW,"IEEE International Conference on Software Testing, Verification and Validation Workshops",
ICT,International Conference on Telecommunications,
ICTAC,International Colloquium on Theoretical Aspects of Computing,
ICTAI,IEEE International Conference on Tools with Artificial Intelligence,
ICTC,International Conference on Information and Communication Technology Convergence,
ICTCS,Italian Conference on Theoretical Computer Science,
ICTIR,Conference on the Theory of Information Retrieval,
ICTON,International Conference on Transparent Optical Networks,
ICTSS,IFIP International Conference on Testing Software and Systems,
ICUAS,International Conference on Unmanned Aircraft Systems,
ICUMT,International Conference on Ultra Modern Telecommunications,
ICVIIP,International Conference on Visualization: Imaging and Image Processing,
ICVR,International Conference on Virtual Rehabilitation,
ICVRV,International Conference on Virtual Reality and Visualization,
ICVS,International Conference on Computer Vision Systems,
ICWE,International Conference on Web Engineering,
ICWL,International Conference on Web-Based Learning,
ICWN,International Conference on Wireless Networks,
ICWS,IEEE International Conference on Web Services,
ICWSM,International AAAI Conference on Web and Social Media,
IDC,International Symposium on Intelligent Distributed Computing,
IDCS,International Conference on Internet and Distributed Computing Systems,
IDEAS,International Database Engineering and Applications Symposium,
IEAAIE,International Conference on Industrial Engineering & Other Applications of Appled Intelligence Systems,
IECON,Annual Conference of the IEEE Industrial Electronics Society,
IEEE IST,IEEE International Conference on Imaging Systems and Techniques,
IEEE NANO,IEEE Conference on Nanotechnology,
IEEE VIS,IEEE Visualization,
IEEECloudS,IEEE Cloud Summit,
IEEEISWC,IEEE International Symposium on Wearable Computers,
IEEENANO,International Conference on Nanotechnology,
IEEESCC,IEEE International Conference on Services Computing,
IESS,IFIP International Embedded Systems Symposium,
IESTEC,"International Engineering, Sciences and Technology Conference",
IFAC,World Congress of the International Federation of Automatic Control,
IFIPIoT,IFIP International Internet of Things Conference,
IFIPISC,IFIP International Information Security Conference,
IFM,International Conference on Integrated Formal Methods,
IFSA,World Congress of International Fuzzy Systems Association,
IGSC,International Green and Sustainable Computing Conference,
IH&MMSec,ACM Workshop on Information Hiding and Multimedia Security,
IHC,Simpósio Brasileiro sobre Fatores Humanos em Sistemas Computacionais,
IHM,Conférence Francophone sur l’Interaction Homme-Machine,
IIH-MSP,International Conference on Intelligent Information Hiding and Multimedia Signal Processing,
IISA,"International Conference on Information, Intelligence, Systems and Applications",
IISWC,IEEE International Symposium on Workload Characterization,
IIWAS,International Conference on Information Integration and Web-based Applications & Services,
IJCAI,International Joint Conference on Artificial Intelligence,
IJCAR,International Joint Conference on Automated Reasoning,
IJCCI,International Joint Conference on Computational Intelligence,
IJCNLP,International Joint Conference on Natural Language Processing,
IJCNN,IEEE International Joint Conference on Neural Networks,
ILA,Interaction Latin America,
ILP,International Conference on Inductive Logic Programming,
IM,IFIP/IEEE International Symposium on Integrated Network Management,
IMBSA,International Symposium on Model-Based Safety and Assessment,
IMC,ACM Internet Measurement Conference,
IMCOM,International Conference on Ubiquitous Information Management and Communication,
IMIS,International Conference on Innovative Mobile and Internet Services in Ubiquitous Computing,
IMOC,SBMO/IEEE MTT-S International Microwave and Optoelectronics Conference,
INCOS,International Conference on Intelligent Networking and Collaborative Systems,
INDIN,IEEE International Conference on Industrial Informatics,
INDOCRYPT,International Conference on Cryptology in India,
INDUSCON,International Conference on Industry Applications,
INFOCOM,IEEE International Conference on Computer Communications,
InfoVis,IEEE Information Visualization,
INLG,International Natural Language Generation conference,
INOC,International Network Optimization Conference,
INSCIT,"International Symposium on Instrumentation Systems, Circuits and Transducers",
INTECH,International Conference on Innovative Computing Technology,
INTELLISYS,SAI Intelligent Systems Conference,
INTERACT,IFIP TC 13 International Conference on Human-Computer Interaction,
INTERSPEECH,Conference of the International Speech Communication Association,
INTESA,INTelligent Embedded Systems Architectures and Applications Workshop,
IOLTS,IEEE International On-Line Testing Symposium,
IoTAAL,Workshop on Internet of Things for Ambient Assisted Living,
IoTBDS,International Conference on Internet of Things and Big Data and Security,
IOTSMS,"International Conference on Internet of Things: Systems, Management and Security",
IPAW,International Provenance and Annotation Workshop,
IPCCC,"International Performance, Computing, and Communications Conference",
IPCO,Conference on Integer Programming and Combinatorial Optimization,
IPCVWC,"International Conference on Image Processing, Computer Vision, and Pattern Recognition",
IPDLN,International Population Data Linkage Network,
IPDPS,IEEE International Parallel & Distributed Processing Symposium,
IPDPSW,IEEE International Parallel & Distributed Processing Symposium Workshops,
IPEC,International Symposium on Parameterized and Exact Computation,
IPMU,International Conference on Information Processing and Management of Uncertainty in Knowledge-Based Systems,
IPSN,International Conference on Information Processing in Sensor Networks,
IRC,IEEE International Conference on Robotic Computing,
IRI,IEEE International Conference on Information Reuse and Integration,
IRIS,IEEE International Symposium on Robotics and Intelligent Sensors,
IROS,IEEE/RSJ International Conference on Intelligent Robots and Systems,
ISAAC,International Symposium on Algorithms and Computation,
ISADS,International Symposium on Autonomous Decentralized Systems,
ISAM,IEEE International Symposium on Assembly and Manufacturing,
ISAmI,International Symposium on Ambient Intelligence,
ISAP,International Conference on Intelligent System Applications to Power Systems,
ISAS,International Static Analysis Symposium,
ISBI,IEEE International Symposium on Biomedical Imaging,
ISBRA,International Symposium on Bioinformatics Research and Applications,
ISC,International Supercomputing Conference,
ISC2,IEEE International Smart Cities Conference,
ISCA,International Symposium on Computer Architecture,
ISCAS,IEEE International Symposium on Circuits and Systems,
ISCC,International Symposium on Computers and Communications,
ISCIS,International Symposium on Computer and Information Sciences,
ISCO,International Symposium on Combinatorial Optimization,
ISCRAM,International Conference on Information Systems for Crisis Response and Management,
ISD,International Conference on Information Systems Development,
ISDA,International Conference on Intelligent Systems Design and Applications,
ISEA,International Symposium on Electronic Arts,
ISeC,International Conference on Information Security,
ISECON,Information Systems Education Conference,
ISER,International Symposium on Experimental Robotics,
ISGT,IEEE PES Innovative Smart Grid Technologies,
ISGT-Europe,IEEE PES Innovative Smart Grid Technologies Conference Europe,
ISGT-LA,IEEE PES Innovative Smart Grid Technologies Latin America,
ISI,IEEE International Conference on Intelligence and Security Informatics,
ISIE,IEEE International Symposium on Industrial Electronics,
ISLPED,International Symposium on Low Power Electronics and Design,
ISM,IEEE International Symposium on Multimedia,
ISMAR,IEEE International Symposium on Mixed and Augmented Reality,
ISMB/ECCB,Intelligent Systems for Molecular Biology / European Conference on Computational Biology,
ISMCR,International Symposium on Measurement and Control in Robotics,
ISMEM,International Symposium on Memory Management,
ISMIR,International Society for Music Information Retrieval Conference,
ISMIS,International Symposium on Methodologies for Intelligent Systems,
ISMM,International Symposium on Mathematical Morphology,
ISMR,International Symposium on Medical Robotics,
ISMSI,"International Conference on Intelligent Systems, Metaheuristics & Swarm Intelligence",
ISMVL,IEEE International Symposium on Multiple-Valued Logic,
ISNN,International Symposium on Neural Networks,
ISOLA,"International Symposium on Leveraging Applications of Formal Methods, Verification and Validation",
ISORC,IEEE International Symposium on RealTime Distributed Computing,
ISPASS,IEEE International Symposium on Performance Analysis of Systems and Software,
ISPD,ACM International Symposium on Physical Design,
ISPDC,International Symposium on Parallel and Distributed Computing,
ISQED,International Symposium on Quality Electronic Design,
ISR,IEEE International Conference on Intelligence and Safety for Robotics,
ISRR,International Symposium on Robotics Research,
ISS,ACM International Conference on Interactive Surfaces and Spaces,
ISSA,Information Security for South Africa,
ISSCC,IEEE International Solid-State Circuits Conference,
ISSI,International Society of Scientometrics and Informetrics Conference,
ISSRE,IEEE International Symposium on Software Reliability Engineering,
ISSREW,IEEE International Symposium on Software Reliability Engineering Workshops,
ISSTA,International Symposium on Software Testing and Analysis,
ISTAR,International i*Workshop,
ISVC,International Symposium on Visual Computing,
ISVLSI,IEEE Computer Society Annual Symposium on VLSI,
ISW,Information Security Conference,
ISWC,International Semantic Web Conference,
ISWCS,International Symposium on Wireless Communication Systems,
ITC,International Test Conference,
ITCS,Conference on Innovations in Theoretical Computer Science,
ITDRR,Information Technology in Disaster Risk Reduction,
ITHET,International Conference on Information Technology Based Higher Education and Training,
ITICSE,Conference on Innovation and Technology in Computer Science Education,
ITNG,International Conference on Information Technology : New Generations,
ITP,International Conference on Interactive Theorem Proving,
ITS,International Conference on Intelligent Tutoring Systems,
ITSC,IEEE International Conference on Intelligent Transportation Systems,
ITSS,Interactive Tabletops and Surfaces,
IUI,International Conference on Intelligent User Interfaces,
IV,International Conference on Information Visualization,
IVA,International Conference on Intelligent Virtual Agents,
IVAPP,International Conference on Information Visualization Theory and Applications,
IWANN,International Work-Conference on Artificial Neural Networks,
IWBBIO,International Work-Conference on Bioinformatics and Biomedical Engineering,
IWBF,International Workshop on Biometrics and Forensics,
IWCMC,International Wireless Communications and Mobile Computing Conference,
IWCS,International Workshop on Computational Semantics,
IWCTS,International Workshop on Computational Transportation Science,
IWGS,ACM Workshop on GeoStreaming,
IWOCA,International Workshop on Combinatorial Algorithms,
IWOMP,International Workshop on OpenMP,
IWS,Iberchip Workshop,
IWSECO,International Workshop on Software Ecosystems,
IWSSIP,"International Conference on Systems, Signals and Image Processing",
jAUTI,Iberoamerican Conference on Applications and Usability of Interactive TV,
JCDL,ACM/IEEE Joint Conference on Digital Libraries,
JCSG,Joint International Conference on Serious Games,
JSSPP,Workshop on Job Scheduling Strategies for Parallel Processing,
JURIX,International Conference on Legal Knowledge and Information Systems,
KDD,ACM SIGKDD Conference on Knowledge Discovery and Data Mining,
KDIR,International Conference on Knowledge Discovery and Information Retrieval,
KDMILE,"Symposium on Knowledge Discovery, Mining and Learning",
KEPS,Workshop on Knowledge Engineering for Planning and Scheduling,
KES,International Conference on Knowledge-Based and Intelligent Information & Engineering Systems,
KESAMSTA,International KES Conference on Agents and Multi-Agent Systems: Technologies and Applications,
KESW,International Conference on Knowledge Engineering and Semantic Web,
KMO,International Conference on Knowledge Management in Organizations,
KR,International Conference on Principles of Knowledge Representation and Reasoning,
L@S,ACM Conference on Learning @ Scale,
LA-CCI,Latin American Conference on Computational Intelligence,
LAC,Linux Audio Conference,
LACLO,Latin American Conference on Learning Objects and Technologies,
LADC,Latin-American Symposium on Dependable Computing,
LAGIRS,IEEE Latin American GRSS & ISPRS Remote Sensing Conference,
LAGOS,"Latin-American Algorithms, Graphs and Optimization Symposium",
LAK,International Learning Analytics and Knowledge Conference,
LANC,Latin American Networking Conference,
LANMAN,IEEE International Symposium on Local and Metropolitan Area Networks,
LANOMS,Latin American Network Operations and Management Symposium,
LARS,IEEE Latin American Robotics Symposium,
LASCAS,IEEE Latin American Symposium on Circuits and Systems,
LATIN,Latin American Theoretical Informatics Symposium,
LATINCLOUD,IEEE Latin America Conference on Cloud Computing and Communications,
LATINCOM,IEEE Latin-American Conference on Communications,
LATINCRYPT,International Conference on Cryptology and Information Security in Latin America,
LATINOWARE,Congresso Latino-americano de Software Livre e Tecnologias Abertas,
LATS,IEEE Latin American Test Symposium,
LAW,Linguistic Annotation Workshop,
LAWCG,Latin American Workshop on Cliques in Graphs,
LAWCN,Latin-American Workshop on Computational Neuroscience,
LAWEB,Latin American Web Congress,
LCN,IEEE Conference on Local Computer Networks,
LCTES,"ACM SIGPLAN/SIGBED Conference on Languages, Compilers, and Tools for Embedded Systems",
LCTRTS,"ACM SIGPLAN/SIGBED Conference on Languages, Compilers, and Tools for Real-Time Systems",
LDAV,IEEE Symposium on Large Data Analysis and Visualization,
LFCS,Symposium on Logical Foundations of Computer Science,
LICS,ACM/IEEE Symposium on Logic in Computer Science,
LIDTA,Workshop on Learning with Imbalanced Domains: Theory and Applications,
LINKDEM,Workshop on Linked Democracy : Artificial Intelligence for Democratic Innovation,
LION,Learning and Intelligent Optimization Conference,
LMCS,Logical Methods in Computer Science,
LocalRec,"International Workshop on Location-Based Recommendations, Geosocial Networks and Geoadvertising",
LocWeb,International Workshop on Location and the Web,
LoPaS,Location Privacy and Security Workshop,
LOPSTR,International Symposium on Logic-based Program Synthesis and Transformation,
LREC,International Conference on Language Resources and Evaluation,
LSFA,"International Workshop on Logical and Semantic Frameworks, with Applications",
LTEC,International Workshop on Learning Technology for Education Challenges,
M4IOT,Workshop on Middleware for Context-Aware Applications in the IoT,
MABS,International Workshop on Multi-Agent Based Simulation,
MANSDNNFV,International Workshop on Management of SDN and NFV Systems,
MASCOTS,"International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",
MASS,IEEE International Conference on Mobile Adhoc and Sensor Systems,
MASS2,IEEE International Conference on Mobile Ad-Hoc and Smart Systems,
MATES,German Conference on Multiagent System Technologies,
MCDM,International Conference on Multiple Criteria Decision Making,
MCM,International Conference on Mathematics and Computation in Music,
MCPR2,Mexican Conference on Pattern Recognition,
MCSoC,International Symposium on Embedded Multicore/Many-core Systems-on-Chip,
MDAI,International Conference on Modeling Decisions for Artificial Intelligence,
MDM,IEEE International Conference on Mobile Data Management,
MED,Mediterranean Conference on Control and Automation,
MedComNet,Mediterranean Communication and Computer Networking Conference,
MEDES,International Conference on Management of Emergent Digital EcoSystems,
MEDHOCNET,Mediterranean Ad Hoc Networking Workshop,
MEDINFO,World Congress on Medical and Health Informatics,
MEMEA,IEEE International Symposium on Medical Measurements and Applications,
MEMSYS,International Symposium on Memory Systems,
MEPDaW,Managing the Evolution and Preservation of the Data Web,
MESA,IEEE/ASME International Conference on Mechatronic and Embedded Systems and Applications,
META,International Workshop on Meta-Programming Techniques and Reflection,
MetaLearn,Workshop on Meta-Learning,
MFCS,International Symposium on Mathematical Foundations of Computer Science,
MFI,IEEE International Conference on Multisensor Fusion and Integration for Intelligent Systems,
MIC,Metaheuristics International Conference,
MICAI,Mexican International Conference on Artificial Intelligence,
MICRO,IEEE/ACM International Symposium on Microarchitecture,
MIDDLEWARE,International Middleware Conference,
MIE,Medical Informatics Europe,
MIG,ACM Siggraph Conference on Motion in Games,
MILCOM,Military Communications Conference,
MISE,Workshop on Modeling in Software Engineering,
MIXDES,International Conference on Mixed Design of Integrated Circuits and Systems,
ML4H,Machine Learning for Health,
MLDM,International Conference on Machine Learning and Data Mining in Pattern Recognition,
MLOBD,"International Workshop on Machine Learning, Optimization and Big Data",
MLSP,IEEE International Workshop on Machine Learning for Signal Processing,
MMAR,International Conference on Methods and Models in Automation and Robotics,
MMM,International Conference on Multimedia Modelling,
MMRP,International Workshop on Multilayer Music Representation and Processing,
MMSP,International Workshop on Multimedia and Signal Processing,
MMSYS,ACM Multimedia Systems Conference,
MNR,Mostra Nacional de Robótica,
MobiArch,Workshop on Mobility in the Evolving Internet Architecture,
MOBICOM,ACM/IEEE International Conference on Mobile Computing and Networking,
MOBIHOC,ACM International Symposium on Mobile Ad Hoc Networking and Computing,
MOBILEHCI,International Conference on Human-Computer Interaction with Mobile Devices and Services,
MOBILESOFT,International Conference on Mobile Software Engineering and Systems,
MOBIQUITOUS,"International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services",
MobiSys,"Annual International Conference on Mobile Systems, Applications, and Services",
MOBIWAC,ACM International Symposium on Mobility Management and Wireless Access,
MOCO,International Conference on Movement and Computing,
MODELS,International Conference on Model Driven Engineering Languages and Systems,
MODELSWARD,International Conference on Model-Driven Engineering and Software Development,
MODRE,International Model-Driven Requirements Engineering,
MODULARITY,International Conference on Modularity,
MoMM,International Conference on Advances in Mobile Computing & Multimedia,
MRS,International Symposium on Multi-Robot and Multi-Agent Systems,
MSN,International Conference on Mobile Ad-Hoc and Sensor Networks,
MSR,Working Conference on Mining Software Repositories,
MSSiS,Workshop deModelagem e Simulação de Sistemas Intensivos em Software,
MSST,IEEE Symposium on Mass Storage Systems and Technologies,
MSWIM,"ACM International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems",
MTSR,International Conference on Metadata and Semantics Research,
MULTI,International Workshop on Multi-Level Modeling,
MULTITEMP,International Workshop on the Analysis of Multitemporal Remote Sensing Images,
MUM,International Conference on Mobile and Ubiquitous Multimedia,
MVA,IAPR International Conference on Machine Vision Applications,
MWE,Workshop on Multiword Expressions,
MWSCAS,International Midwest Symposium on Circuits and Systems,
NAACL,North American Chapter of the Association for Computational Linguistics Annual Meeting,
NAFIPS,Annual Conference of the North American Fuzzy Information Processing Society,
NCA,IEEE International Symposium on Network Computing and Applications,
NDSS,Network and Distributed System Security Symposium,
NESY@HLAI,Workshop on Neural-Symbolic Learning and Reasoning,
NETSOFT,IEEE Conference on Network Softwarization,
NetSys,International Conference on Networked Systems,
NETWORKING,IFIP Networking Conference,
NETWORKS,International Telecommunications Network Strategy and Planning Symposium,
NeurIPS,Neural Information Processing Systems,
NEW2AN,"International Conference on Internet of Things, Smart Spaces, and Next Generation Networks and Systems",
NEWCAS,IEEE International New Circuits and Systems Conference,
NFM,NASA Formal Methods Symposium,
NFV-SDN,IEEE Conference on Network Function Virtualization and Software Defined Networks,
NHT,Workshop on Narrative and Hypertext,
NIME,International Conference on New Interfaces for Musical Expression,
NLDB,International Conference on Application of Natural Language to Information Systems,
NOCS,ACM/IEEE International Symposium on Networks-on-Chip,
NOF,International Conference on Network of the Future,
NOMS,IEEE/IFIP Network Operations and Management Symposium,
NORCAS,Nordic Circuits and Systems Conference,
NordiCHI,Nordic Conference on Human-Computer Interaction,
NSDI,Networked Systems Design and Implementation,
NSS,Network and System Security,
NSV,International Workshop on Numerical Software Verification,
NTMS,"IFIP International Conference on New Technologies, Mobility and Security",
OCEAN,IEEE Oceans Conference,
OM,International Workshop on Ontology Matching,
ONDM,Conference on Optical Network Design and Modeling,
ONTOBRAS,Seminar on Ontology Research in Brazil,
Onward!,Onward!,
OOPSLA,"Conference on Object-Oriented Programming Systems, Languages, and Applications",
OpenSym,International Symposium on Open Collaboration,
OPODIS,International Conference on Principles of Distributed Systems,
OR,International Conference on Operations Research,
OSDI,USENIX Symposium on Operating Systems Design and Implementation,
OSS,International Conference on Open Source Systems,
OzCHI,Australian Conference on Human-Computer Interaction,
PAAMS,"International Conference on Practical Applications of Agents, Multi-Agent Systems and Sustainability",
PAAR,Practical Aspects of Automated Reasoning,
PACBB,International Conference on Practical Applications of Computational Biology & Bioinformatics,
PacificVis,IEEE Pacific Visualization Symposium,
PACIS,Pacific Asia Conference on Information Systems,
PACT,International Conference on Parallel Computing Technologies,
PACTT,International Conference on Parallel Architectures and Compilation Techniques,
PAKDD,Pacific-Asia Conference on Knowledge Discovery and Data Mining,
PAM,Passive and Active Network Measurement Conference,
ParCO,International Conference on Parallel Computing,
PATAT,International Conference on the Practice and Theory of Automated Timetabling,
PATMOS,"International Workshop on Power and Timing Modeling, Optimization and Simulation",
PATTERNS,International Conferences on Pervasive Patterns and Applications,
PDC,Participatory Design Conference,
PDCAT,"International Conference on Parallel and Distributed Computing, Applications and Technologies",
PDES,IFAC International Conference on Programmable Devices and Embedded Systems,
PDP,"Euromicro International Conference on Parallel, Distributed and Network-Based Processing",
PE-WASUN,"ACM International Symposium on Performance Evaluation of Wireless Ad Hoc, Sensor, and Ubiquitous Networks",
PECCS,Pervasive and Embedded Computing and Communication Systems,
PERCOM,International Conference on Pervasive Computing and Communications,
PerComW,IEEE International Conference on Pervasive Computing and Communication Workshops,
PervasiveHealth,International Conference on Pervasive Computing Technologies for Healthcare,
PESOS,International Workshop on Principles of Engineering Service-Oriented and Cloud Systems,
PETRA,ACM International Conference on PErvasive Technologies Related to Assistive Environments,
PG,Pacific Conference on Computer Graphics and Applications,
PGM,International Conference on Probabilistic Graphical Models,
PIMRC,"International Symposium on Personal, Indoor and Mobile Radio Communications",
PKC,International Conference on Practice and Theory in Public Key Cryptography,
PLATIAL,International Symposium on Platial Information Science,
PLDI,SIGPLAN Conference on Programming Language Design and Implementation,
PLOP,Conference on Pattern Languages of Programs,
PODC,ACM Symposium on Principles of Distributed Computing,
PODS,Symposium on Principles of Database Systems,
PoEM,IFIP WG 8.1 Working Conference on the Practice of Enterprise Modelling,
POPL,Symposium on Principles of Programming Languages,
POST,International Conference on Principles of Security and Trust,
PP,SIAM Conference on Parallel Processing for Scientific Computing,
PPAM,International Conference on Parallel Processing and Applied Mathematics,
PPDP,International Symposium on Principles and Practice of Declarative Programming,
PPOPP,ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming,
PPSN,International Conference on Parallel Problem Solving from Nature,
PRDC,Pacific Rim International Symposium on Dependable Computing,
PredictGIS,International Workshop on Prediction of Human Mobility,
PRIMA,nternational Conference on Principles and Practice of Multi-Agent Systems,
PrivOn,"Workshop on Society, Privacy and the Semantic Web",
PROFES,International Conference on Product-Focused Software Process Improvement,
PROMISE,International Conference on Predictive Models and Data Analytics in Software Engineering,
PROPOR,International Conference on Computational Processing of the Portuguese Language,
